date,index.svix2,box_12m,stockexpret_NX,dt,SimpleReturn,ExcessReturns,LowerBound,ExcessReturns_LowerBound
2004-01-02,0.020025788,1.014808066444181,0.09524150460385306,2004-01-02,1.095241504603853,0.08043343815967208,0.02032233119930108,0.060111106960370995
2004-04-01,0.022993881,1.014324956350065,0.09228780408887194,2004-04-01,1.092287804088872,0.07796284773880702,0.023323267341643587,0.054639580397163434
2004-07-01,0.02009008,1.0242353066811956,0.08452590783021423,2004-07-01,1.0845259078302143,0.06029060114901874,0.020576969250049752,0.03971363189896899
2004-10-01,0.017122279,1.0244147486683186,0.08909687354474598,2004-10-01,1.089096873544746,0.06468212487642733,0.01754031513841383,0.0471418097380135
2005-01-03,0.016185698,1.0318711178918698,0.09226795733862696,2005-01-03,1.092267957338627,0.06039683944675711,0.0167015542891202,0.04369528515763691
2005-04-01,0.01562156,1.0385997984864084,0.07634678449174516,2005-04-01,1.0763467844917451,0.03774698600533677,0.016224549068043336,0.021522436937293433
2005-07-01,0.014462911,1.0408128875976412,0.08051088780577349,2005-07-01,1.0805108878057734,0.03969800020813219,0.015053184160977688,0.024644816047154502
2005-10-03,0.014697824,1.046704533751369,0.08023421764166545,2005-10-03,1.0802342176416655,0.033529683890296536,0.01538427901707968,0.018145404873216857
2006-01-03,0.013709117,1.0498812443894112,0.09052589190510378,2006-01-03,1.0905258919051037,0.04064464751569252,0.014392944815440031,0.02625170270025249
2006-04-03,0.012279225,1.0544207696789716,0.083546924242046,2006-04-03,1.083546924242046,0.029126154563074325,0.012947469875561269,0.016178684687513056
2006-07-03,0.014215643,1.0582185209472226,0.08429907580552043,2006-07-03,1.0842990758055204,0.026080554858297855,0.015043256709773738,0.011037298148524118
2006-10-02,0.013863135,1.0541122771624694,0.0942527760179745,2006-10-02,1.0942527760179745,0.04014049885550519,0.01461330080346073,0.02552719805204446
2007-01-03,0.013705344,1.0544022240893516,0.09497171471773604,2007-01-03,1.094971714717736,0.04056949062838444,0.01445094519550965,0.02611854543287479
